"#{""t_start"": 1671801145.2687807"," ""env_id"": ""TruckTrailer-v1""}",
r,l,t
985.891863,14510,12234.90942
955.86751,14517,12349.50043
955.874032,14529,12465.03041
975.844159,14500,12579.44456
955.889469,14476,12694.22897
955.807406,14508,12808.02026
945.869186,14541,12922.52029
965.811076,14514,13037.69779
985.856948,14500,13151.02549
985.870743,14477,13265.61399
965.81325,14596,13384.52536
965.896563,14536,13499.31721
895.804857,14615,13615.05733
945.871498,14580,13730.22274
895.869387,14614,13845.00745
945.831838,14691,13960.33288
945.808537,14736,14075.13551
915.829101,14648,14194.05601
925.838685,14679,14309.60239
905.844959,14661,14423.6989
895.858244,14762,14539.54857
895.850211,14619,14654.641
925.859017,14598,14768.90223
925.898025,14544,14883.40696
945.806931,14593,15002.41262
925.833244,14651,15118.5988
935.886299,14562,15234.21919
945.851563,14567,15349.13269
945.851207,14503,15464.01793
945.874386,14598,15579.64308
975.843569,14546,15695.04628
945.851547,14626,15810.20871
945.81219,14641,15929.40819
875.891224,14904,16046.00022
885.859812,14697,16161.15193
925.855622,14741,16276.71476
865.838415,14732,16391.50368
945.84934,14640,16509.81768
935.803708,14595,16624.54005
985.823089,14541,16739.59817
955.804631,14553,16854.72775
-22999791.08,250000,18782.00439
985.887349,14575,18895.63311
975.829072,14547,19009.124
935.800028,14492,19122.65049
965.800281,14552,19236.89954
914.843322,14611,19351.75695
763.204488,14570,19469.9438
663.015721,14645,19585.21313
672.403029,14647,19700.73791
620.267348,14529,19814.5134
621.0783,14608,19929.29808
600.413665,14561,20044.0481
619.305431,14531,20157.23543
577.438184,14538,20272.73913
566.373293,14539,20390.93218
477.722018,14733,20506.30662
578.686543,14560,20620.59821
567.82661,14591,20735.35508
549.455095,14582,20849.83545
549.57909,14544,20963.75047
590.621194,14546,21077.10077
551.809883,14571,21192.33229
572.335817,14649,21311.85572
413.198974,14746,21427.02904
473.567218,14770,21542.62659
532.009352,14682,21658.03967
433.155893,14759,21772.91784
543.483761,14607,21887.44714
553.968794,14640,22006.05373
574.501704,14722,22120.94442
555.81712,14777,22236.71195
-100.997247,10741,22320.05034
745.876853,14754,22434.54577
685.817692,14902,22554.84499
785.851477,14743,22670.35231
875.879237,14580,22785.29757
925.88015,14623,22899.79866
915.888731,14641,23015.056
935.837818,14651,23128.91784
915.828146,14651,23248.23524
925.818181,14660,23363.20444
925.841469,14681,23478.41125
945.890495,14647,23593.22987
925.834684,14626,23707.99941
925.821319,14692,23822.79838
895.809336,14758,23942.31946
925.834716,14705,24057.50412
905.811881,14756,24173.55221
925.839793,14818,24288.90407
855.828481,14997,24409.53878
755.850928,15071,24526.03153
695.808559,14787,24641.83386
655.801181,14784,24757.35368
735.804238,14965,24877.53053
705.81135,15012,24993.33798
625.824494,14716,25107.73687
845.825997,14923,25223.04178
875.823397,14857,25342.15487
955.884622,14653,25457.61461
955.88383,14554,25572.1549
945.889509,14580,25686.90211
955.889664,14562,25800.71934
975.804387,14529,25915.81308
955.804037,14511,26030.23124
945.847759,14555,26149.11825
965.857968,14579,26262.91237
945.850912,14639,26378.45118
975.874354,14480,26492.82805
945.816995,14540,26608.73147
995.859889,14515,26723.41696
1005.804346,14421,26836.63239
995.806486,14446,26950.35068
985.851205,14439,27064.22813
975.883003,14505,27177.91493
995.843533,14465,27292.03432
965.856115,14558,27406.15248
985.874199,14536,27524.52338
985.80641,14422,27638.43132
965.883078,14475,27753.60398
1005.828901,14499,27868.10177
985.882457,14417,27982.31414
965.85644,14477,28095.81337
985.803425,14407,28209.62866
965.846414,14469,28324.30646
975.812046,14444,28438.34905
975.820905,14494,28551.59922
925.857577,14545,28666.52238
985.880536,14441,28780.22313
965.835275,14440,28894.13931
995.832714,14449,29007.75992
905.866972,14706,29127.41623
935.809632,14554,29242.10173
975.843442,14523,29356.55278
985.826408,14533,29471.3204
975.828715,14562,29585.50213
925.815877,14634,29700.2317
985.831072,14529,29814.34732
985.856423,14581,29928.25279
554.781092,14986,30049.72396
995.825678,14503,30162.84831
1005.80933,14545,30277.12438
955.269314,14512,30391.15148
955.639139,14680,30506.22517
924.858823,14532,30620.03648
945.392701,14663,30735.4085
985.815718,14568,30849.91089
935.464097,14610,30968.24694
985.561348,14658,31083.80933
965.455454,14575,31198.62219
975.414078,14705,31314.69937
955.712641,14684,31430.31658
985.845435,14525,31540.13332
945.813522,14651,31655.43864
965.811227,14732,31774.59887
975.334542,14687,31889.51486
965.799439,14656,32004.72766
924.97656,14777,32120.90709
925.444739,14731,32235.65537
915.115709,14739,32355.19914
925.093683,14712,32469.33775
955.769402,14721,32584.64991
914.981631,14595,32698.81705
925.158839,14687,32812.81789
975.80424,14633,32927.14749
975.840335,14598,33041.43084
