#{"t_start": 1674032627.366982, "env_id": "TruckTrailer-v1"}
r,l,t
-82.136737,1858,27.235232
-72.887116,1555,41.00051
-61.475984,3010,68.135986
-83.8967,2618,88.45032
-70.904314,4440,122.834354
-89.573543,2850,144.625831
-70.259509,1543,158.529676
-55.127889,3655,188.852559
-71.338003,1601,202.941763
-71.437005,2066,219.825098
-53.703452,3015,241.901086
-69.879664,1194,253.456294
-61.841552,2653,273.649397
-71.013785,1664,288.25409
-50.7514,3060,310.721609
-79.163507,1546,324.352804
-77.459534,2137,341.528944
-80.480984,1864,357.527295
-71.765409,3619,387.928528
-78.690999,1785,403.113061
-67.069708,962,409.260592
-35.997353,1475,422.332514
-72.545227,1196,433.942996
-54.061625,3198,457.349281
-78.380487,1652,471.543367
-58.825795,1672,486.026931
-72.739834,1025,492.706215
-76.255466,2635,517.336937
-73.51425,1356,525.710693
-76.069283,3752,556.747119
-61.287545,1107,567.908252
-70.429383,1824,579.104892
-76.518503,2113,599.90221
-76.27316,2007,612.434584
-74.087596,2074,633.336002
-65.62642,1534,642.749198
-85.322058,2766,667.607916
-69.622182,1649,677.731133
-66.221065,2113,694.62319
-70.631478,1821,709.757678
-65.25635,1036,720.419983
-67.120234,10699,804.112735
-86.948019,4062,836.630372
-82.787057,2552,856.221321
-67.509215,3217,883.715764
-83.96243,5051,921.840912
-71.274898,1923,937.736057
-81.677161,3732,968.003586
-67.826252,2542,987.348253
-72.798394,4735,1027.652328
-74.497543,14097,1139.403652
-77.347501,13858,1246.047514
-58.889215,2088,1262.823016
-63.528512,1826,1277.93885
-77.597821,5424,1322.40912
63.015432,15366,1441.0414
-83.046307,2462,1464.42433
-58.373167,14158,1572.430327
-65.657014,7286,1631.753031
-72.257963,2803,1652.740848
-65.622199,1989,1669.323538
13.325689,12381,1766.804829
-80.708032,3595,1796.545642
-82.975425,2471,1815.555629
-67.04361,1271,1827.549673
-500073.6092,25000,2024.736634
-500037.11366,25000,2221.801017
-71.13928,12594,2324.645458
-73.677619,1331,2333.09955
-64.191061,18607,2479.549912
-66.98232,2532,2502.931898
-82.584607,2339,2521.021915
-108683.554568,21085,2687.751425
-42.528711,13395,2796.258807
-69.523338,2288,2814.324687
-499953.366861,25000,3010.653157
-499807.719123,25000,3207.132231
-499940.268771,25000,3404.631521
-61.796142,8284,3470.535706
-499827.481588,25000,3667.742335
-76.275053,1416,3680.633832
-70.862764,2089,3697.337952
-499974.922917,25000,3896.200924
-69.350137,1286,3908.314678
-500014.688985,25000,4106.823322
-500070.387812,25000,4304.542645
-500022.473191,25000,4506.835553
-81.167998,4664,4542.819567
-500075.848696,25000,4742.305365
-73.414468,2149,4759.453314
-500078.228943,25000,4959.114113
-500023.207602,25000,5162.354014
-500007.020586,25000,5361.902816
-500048.525805,25000,5561.802692
-500067.809129,25000,5762.556135
-69.531385,1219,5774.3409
-73.434052,12182,5874.099587
-57.849971,16590,6008.339463
-60.173827,5837,6055.960359
-64.997722,5574,6097.85858
-73.901156,10252,6180.851572
-75.347083,17805,6328.40277
-58.851574,3834,6360.407031
-500051.370137,25000,6560.021796
-500063.28295,25000,6761.701928
-114.099579,1931,6777.730212
-66.111677,9913,6859.206627
-91.891451,7762,6923.212296
-38.736029,11143,7012.55226
-63.151312,15126,7139.034225
-500083.11437,25000,7342.041545
-80.066948,13204,7447.352403
-500022.586014,25000,7651.655333
-23666.97993,20235,7817.64924
-58.850473,17209,7943.045365
-500075.673552,25000,8146.358482
-98282.916601,20981,8317.403706
-500078.524621,25000,8523.315669
-80.021476,18369,8672.023521
-500083.916866,25000,8875.118633
-500076.897822,25000,9079.807395
-80.787322,17980,9229.154185
-500089.156496,25000,9432.919262
-500073.108545,25000,9636.404079
-500073.629777,25000,9840.85224
-500075.038491,25000,10051.101578
-500076.688449,25000,10254.953691
-500088.008134,25000,10459.656945
-500074.840819,25000,10664.854549
-500088.33108,25000,10869.717906
-500082.54572,25000,11079.143024
-500085.064607,25000,11284.32232
-500084.312081,25000,11490.14792
-500091.653193,25000,11696.207107
-500085.094043,25000,11902.643464
-500095.098238,25000,12114.903574
-500091.994188,25000,12321.90212
-500095.279183,25000,12530.105169
-500091.078666,25000,12738.22335
-500093.828224,25000,12951.449631
-500093.291788,25000,13158.634452
-500093.533596,25000,13365.799826
-500093.524699,25000,13574.119025
