#{"t_start": 1681803228.877428, "env_id": "TruckTrailer-v1"}
r,l,t
-4406.987728,4051,13455.202787
-5265.407474,4204,13549.516671
-6881.643802,5031,13668.816921
-2617.143055,3171,13735.106708
-1799.265818,3118,13810.702352
-4518.091957,3948,13900.597519
-3412.176727,3626,13987.102402
-5999.317777,2007,14033.59567
-5639.976137,2327,14085.801489
-5609.258287,7599,14245.200229
-4947.62923,3802,14334.696978
-6920.59485,16803,14716.494876
-6885.399487,4564,14817.409926
-3514.76998,3448,14887.915293
-2095.333862,3263,14966.907955
-2305.287296,2452,15022.70828
-5128.404935,4494,15124.313902
-5978.211337,4797,15238.490332
-5799.61011,5348,15352.914832
-6027.075033,4651,15465.594034
-9193.078346,4625,15566.611328
-9718.997745,15917,15923.004351
-4817.063849,9752,16131.808649
-3581.223311,4764,16246.319644
-1641.436505,3034,16312.414356
-5422.110261,3932,16402.102671
-5252.492849,3820,16491.105254
-7493.565518,4743,16595.315505
-6778.216725,4573,16706.302105
-6394.269577,4105,16798.512291
-6016.39959,4591,16901.602235
-8391.432352,4928,17008.496554
-9890.990973,5949,17142.29179
-12489.806993,5671,17272.105953
0.0,1,17272.603631
-4849.741152,3575,17358.792321
-8598.850498,4552,17459.015787
-3782.244772,7559,17634.805337
-2977.603234,2600,17689.906103
-8335.998604,2878,17751.210024
-11207.674646,5235,17871.989913
-10220.005013,4469,17970.489194
-6550.058676,3320,18052.411936
-11112.993656,6324,18191.296619
-3284.376257,3284,18259.108568
0.0,1,18259.607966
-8832.114133,5606,18387.209105
-2639.673156,2550,18443.102427
-10847.718089,12151,18711.201706
-4693.866002,2757,18779.413644
-6016.709173,3714,18853.809536
-9191.979971,4359,18959.510382
-3632.300808,3737,19035.310847
-6703.981246,4862,19151.402917
-8921.775186,6364,19294.310704
-8790.62661,9313,19493.909857
-6350.691658,7480,19662.306028
0.0,1,19662.807571
-7996.00148,4223,19757.001691
-2221.121828,2804,19817.506121
-2393.371226,3374,19897.409981
-5301.2667,4261,19991.510513
-6667.115783,6033,20128.596103
-6875.257553,4439,20228.390559
-1431.654683,2446,20284.30243
-1792.482854,2682,20353.196856
-4278.622968,1388,20379.29296
-2553.579377,2892,20451.500874
-4732.839517,3607,20536.891432
-3548.656568,2747,20596.615341
-6417.801384,2325,20648.202603
-2211.422632,2322,20699.606938
-4899.070527,3448,20782.903862
-5011.611276,2983,20846.507661
-3697.179427,4249,20940.714049
-5879.375442,4251,21047.400252
-2945.969195,3573,21121.013544
0.0,1,21121.597034
0.0,1,21122.009567
-3588.203802,1830,21165.711781
-3425.147087,2466,21220.299241
-6241.121262,2376,21283.91213
-8246.07309,2965,21351.102289
-6799.31655,4259,21446.807406
-7491.67867,5284,21571.511091
-4083.073853,4606,21674.511799
-4509.844411,2310,21725.908159
-3409.443305,3022,21801.699347
-2911.870841,2641,21860.490636
-5340.777455,3561,21942.117761
-6667.497051,3948,22020.401501
0.0,1,22020.904013
-1636.773748,1769,22063.705627
-5099.177625,3386,22146.409695
-5381.596082,3735,22234.901767
-4611.555786,3959,22325.593343
-4387.321924,3094,22389.597132
-4038.455255,4271,22486.19979
-7042.910935,4915,22605.190542
-4644.246594,3108,22670.521817
-14535.713771,5914,22803.100616
-5046.596444,5559,22932.103618
-11610.069462,12528,23210.095784
-7403.154734,4199,23304.491238
-6697.14769,2986,23366.897896
-6825.291483,4885,23481.913789
-6724.799625,4289,23577.715298
-2885.917567,2620,23636.99706
-5947.907488,3796,23724.514759
-5481.210518,3517,23807.014602
-7160.439372,3704,23894.798209
-5545.001722,3166,23962.005374
-9705.250854,13599,24268.302506
-4969.499339,3157,24336.093073
-6378.331432,3274,24413.409436
-5070.330944,2099,24461.90316
-3781.409454,2609,24519.215568
-3861.006252,2579,24575.907044
-6249.894165,3175,24652.989709
-1441.291756,2336,24705.492029
-3131.0143,2649,24762.998399
-3566.278613,2442,24826.903018
-5194.414316,2849,24887.002448
-2558.197046,2669,24947.416334
-4810.470191,3185,25023.895936
-3718.495362,2454,25078.914729
-1424.46848,2323,25130.211936
-4170.956093,3034,25205.400985
-1520.068439,2320,25257.908926
-3937.496382,3381,25337.810046
-4633.063919,1632,25366.611762
-3823.868238,2988,25439.113858
-1279.403037,2060,25486.206903
-3597.495479,7505,25643.417305
-4775.678112,2766,25712.799586
-2069.302621,2506,25768.8181
-3077.912158,3093,25843.106512
-4550.926383,2908,25905.5937
-2094.342386,2215,25955.309861
-1715.815313,2482,26007.319255
-4582.017867,3309,26085.892651
-5346.728106,4163,26178.314127
-3083.292328,3097,26243.596723
-6704.292065,3304,26326.806485
-3547.947683,3331,26401.005719
-5367.492198,3555,26472.89637
-5134.439613,3421,26554.014063
0.0,1,26554.513662
-4603.23504,3327,26632.504686
-7749.733662,3472,26704.392107
-4601.941612,3494,26787.622463
-5491.8229,4022,26881.118152
-7916.65531,4837,26985.407068
-8791.422339,4556,27097.496391
-3507.744613,3214,27164.291961
-5192.37418,3556,27248.412277
-6012.721303,3499,27332.415413
-4394.626979,3328,27400.996391
-3830.125284,2015,27448.812667
-1539.407366,2486,27504.108205
-3524.583091,3026,27581.194389
-5379.007529,3618,27668.306859
-4728.916686,3210,27735.896749
-3017.819863,2338,27790.012874
-6487.987796,4180,27884.998716
-5334.696409,3550,27967.408034
-4393.203059,3559,28052.501626
-5047.60675,7453,28222.700915
-2641.642054,2661,28279.690234
-3524.371986,1531,28318.302896
-3288.950408,2716,28377.918141
-3304.35337,1751,28420.890259
-3540.703752,2895,28483.000952
-5019.265416,6626,28630.69188
-3783.412682,2061,28679.619709
-1880.556652,1728,28721.009645
-2760.470652,2115,28769.213637
0.0,1,28769.716454
-3827.942717,4397,28866.716232
-3546.351299,1187,28899.610081
0.0,1,28900.191822
-2273.639635,2114,28948.116266
-1808.410426,1774,28990.217455
-2840.859477,2188,29038.510323
-5324.680707,2941,29100.915207
-4449.414,5646,29228.502037
-2034.664606,1793,29270.104863
-2214.497177,1904,29313.511591
-1771.644163,1683,29353.213757
-2228.474808,1814,29395.216566
-3633.275258,2073,29441.314655
-4235.702591,2232,29490.902072
-1594.526969,1818,29533.608342
-624.375884,1365,29558.318721
-2436.632859,1573,29595.901243
-542.927412,1263,29628.190558
-1488.869939,829,29643.916507
-2443.009874,713,29667.395231
0.0,1,29667.897326
-3264.858008,2129,29715.597173
-2148.896113,1623,29744.115325
-2068.544073,996,29771.296109
-900.639582,1127,29791.794276
-2124.993442,1532,29828.704073
-3983.525138,2340,29880.011741
-5376.740862,2446,29934.018061
-2464.037646,1616,29971.617711
-1494.078382,1788,30013.491081
0.0,1,30013.914233
-1027.460308,1572,30053.914983
-1237.837754,1414,30091.589676
-3123.915789,1963,30137.514371
-4111.294019,2312,30190.200576
-1844.710401,1679,30230.408607
-2852.298964,1015,30248.402157
-1116.832303,1501,30287.405615
-2741.719624,2024,30334.807925
-1384.195269,991,30352.316597
-2417.254263,1446,30390.315757
0.0,1,30390.893762
-3998.666109,3917,30482.917943
-1450.587627,1503,30520.893025
-2418.328475,1750,30552.004657
-1866.385557,1580,30591.406968
-1330.027992,1197,30623.712425
-4685.781274,2184,30673.500237
-1201.603278,1557,30713.304704
-2188.860185,1718,30744.401136
-1371.548979,1767,30786.592111
-1085.380453,1504,30825.303982
-691.202715,1522,30864.307408
-3221.856978,2571,30921.711568
-2330.693483,1065,30951.994333
-3379.401258,1957,30997.510432
-1398.925905,1070,31016.614716
-7424.981402,6734,31163.49677
-884.120522,1480,31200.907944
-2647.590171,1930,31246.598086
-1827.074893,1036,31266.507112
-3854.88258,4031,31359.008031
-2373.199459,2091,31407.29983
-1099.660518,1714,31450.501507
-3762.582374,2178,31500.805703
-938.998009,875,31527.611957
0.0,1,31528.10871
-2151.419332,2067,31576.304101
-4662.346485,2787,31636.508703
-5134.978635,2490,31692.407915
-3197.141423,2054,31741.305448
0.0,1,31741.813117
-1800.638529,1624,31780.213364
-2083.40216,1720,31821.910249
-3875.341257,2248,31873.095011
-3313.205124,2099,31922.999734
-740.857306,1633,31963.498716
-1431.342995,1872,32007.814204
-6185.129048,2865,32070.211344
-2955.259803,2111,32118.810465
-2100.312133,2105,32167.523593
-2147.858434,1996,32213.908026
-3972.697332,2381,32266.894089
-1802.925345,1152,32298.306111
-3420.952061,4710,32400.222823
-495.031707,1278,32433.510377
-420.174771,1175,32468.10777
-821.844945,1500,32495.398234
-3945.635104,2621,32562.713335
-4062.873716,2426,32617.498634
-2172.667835,1902,32662.999981
-842.435686,1528,32690.692665
-1080.545402,1316,32725.703297
-3353.812592,893,32742.004602
-6606.193503,6469,32900.394313
-2519.810488,1027,32920.413755
-1967.514722,1703,32962.003257
-3213.637534,1982,33008.223256
-2556.961467,1857,33052.308156
-2055.731328,898,33068.192403
0.0,1,33068.619461
-2927.469985,2126,33116.897277
