#{"t_start": 1682314546.8199399, "env_id": "TruckTrailer-v1"}
r,l,t
-1008.647192,2335,2678.575682
-1000.0,1,2678.799162
-1000.0,1,2679.050195
-1003.650336,3376,2706.789692
-1215.59912,1717,2723.16713
-1043.825532,2398,2744.30484
-1016.9749,3455,2777.484898
-1000.0,1,2777.703602
-1010.270828,5802,2830.605578
-1004.228097,2765,2852.594649
-1040.350446,2535,2879.600617
-1029.01418,4288,2917.768369
-1009.469622,2508,2940.199738
-1000.0,1,2940.463083
-1058.596715,5026,2984.590762
-1010.692363,2801,3012.991473
-1000.0,1,3013.258376
-1005.306665,6387,3070.873445
-1008.332953,6410,3126.96724
-1006.589578,4106,3163.669317
-1000.0,1,3163.885022
-1011.354891,3413,3196.671577
-1000.0,1,3196.886722
-1125.006698,6996,3259.366142
-1011.075446,2888,3283.149341
-999.8015,2439,3306.682469
-1006.017525,2904,3330.674063
-1000.0,1,3330.891836
-1000.0,1,3331.105948
-1010.524197,2456,3352.069663
-1010.818001,2913,3380.350251
-1008.149412,3724,3414.777719
-1000.0,1,3414.998552
-1012.101846,4191,3452.00011
-1008.126187,4359,3490.696891
-1009.805625,10223,3580.491783
-1000.0,1,3580.753792
-1000.0,1,3580.961581
-1000.0,1,3581.177112
-1000.0,1,3581.387813
-1021.1075,20846,3759.69411
-1000.0,1,3759.949146
-1019.362371,3070,3785.559954
-1000.0,1,3785.766796
-1015.631788,2785,3815.26637
-1000.0,1,3815.485554
-1037.580384,8363,3889.486603
-1018.03246,7854,3958.270883
-1000.985989,1762,3974.8752
-1006.687818,25000,4191.360364
-1010.158758,3577,4220.791985
-1003.256633,25000,4439.046639
-1002.565294,25000,4656.077544
-1002.298527,25000,4875.463632
-1000.794626,769,4880.99227
-1000.0,1,4881.255724
-1023.271604,25000,5102.896604
-1000.0,1,5103.164597
-1037.687954,25000,5320.0776
-1017.558614,25000,5540.180532
-1000.336463,25000,5762.371676
-1000.0,1,5762.593258
-997.749742,25000,5992.169369
-996.733468,25000,6217.063402
-996.85138,25000,6443.100144
-996.266474,25000,6673.784718
-996.040623,25000,6899.282643
-996.809042,25000,7131.956411
-995.860854,25000,7358.900616
-1000.0,1,7359.168579
-1000.0,1,7359.382615
-996.836428,25000,7586.789166
-997.761412,25000,7815.287308
-1000.0,1,7815.500599
-1000.0,1,7815.762532
-1000.0,1,7815.972995
-997.465554,25000,8044.48543
-1000.0,1,8044.704289
-999.354881,12784,8165.892754
-1000.949084,13220,8284.973814
-1000.0,1,8285.181818
-1000.0,1,8285.395783
-996.92823,25000,8512.969561
-997.110435,25000,8740.960351
-997.511535,25000,8972.779026
-1000.0,1,8973.0011
-999.73334,25000,9198.593947
-997.891199,25000,9425.973298
-1000.0,1,9426.179481
-997.962086,25000,9653.562507
-996.535401,25000,9885.601948
-1000.0,1,9885.86458
-1000.0,1,9886.076217
-1000.0,1,9886.298406
-1000.0,1,9886.550609
-997.735248,25000,10111.691224
-1000.0,1,10111.905196
-997.60842,25000,10341.39943
-998.450882,6962,10404.495337
-1000.0,1,10404.758183
-997.998802,14265,10535.774833
-1000.0,1,10535.999583
-996.572154,25000,10766.549586
-997.203275,25000,10993.291643
-996.638915,25000,11220.887009
-996.205749,25000,11447.28519
-1000.0,1,11447.49841
-1000.0,1,11447.747118
